college,amount,year
Cesar,138,2017
Chocó,12,2009
Chocó,10,2010
Chocó,5,2011
Chocó,13,2012
Chocó,21,2013
Chocó,38,2014
Chocó,51,2015
Chocó,50,2016
Chocó,63,2017
Cordoba,116,2009
Cordoba,161,2010
Cordoba,214,2011
Cordoba,96,2012
Cordoba,103,2013
Cordoba,221,2014
Cordoba,233,2015
Cordoba,130,2016
Cordoba,254,2017
Cundinamarca,237,2009
Cundinamarca,231,2010
Cundinamarca,212,2011
Cundinamarca,271,2012
Cundinamarca,336,2013
Cundinamarca,374,2014
Cundinamarca,524,2015
Cundinamarca,536,2016
Cundinamarca,761,2017
Guainía,0,2009
Guainía,0,2010
Guainía,1,2011
Guainía,1,2012
Guainía,1,2013
Guainía,0,2014
Guainía,3,2015
Guainía,0,2016
Guainía,1,2017
Guaviare,8,2009
Guaviare,6,2010
Guaviare,3,2011
Guaviare,5,2012
Guaviare,12,2013
Guaviare,8,2014
Guaviare,5,2015
Guaviare,0,2016
Guaviare,9,2017
Huila,59,2009
Huila,57,2010
Huila,72,2011
Huila,72,2012
Huila,123,2013
Huila,202,2014
Huila,156,2015
Huila,111,2016
Huila,176,2017
La Guajira,49,2009
La Guajira,76,2010
La Guajira,89,2011
La Guajira,182,2012
La Guajira,491,2013
La Guajira,342,2014
La Guajira,435,2015
La Guajira,134,2016
La Guajira,134,2017
Magdalena,170,2009
Magdalena,114,2010
Magdalena,91,2011
Magdalena,197,2012
Magdalena,138,2013
Magdalena,211,2014
Magdalena,202,2015
Magdalena,74,2016
Magdalena,227,2017
Meta,141,2009
Meta,81,2010
Meta,107,2011
Meta,93,2012
Meta,95,2013
Meta,239,2014
Meta,161,2015
Meta,60,2016
Meta,78,2017
Nariño,138,2009
Nariño,108,2010
Nariño,129,2011
Nariño,157,2012
Nariño,241,2013
Nariño,281,2014
Nariño,213,2015
Nariño,234,2016
Nariño,394,2017
Norte de Santander,85,2009
Norte de Santander,128,2010
Norte de Santander,117,2011
Norte de Santander,100,2012
Norte de Santander,109,2013
Norte de Santander,153,2014
Norte de Santander,192,2015
Norte de Santander,64,2016
Norte de Santander,89,2017
Putumayo,8,2009
Putumayo,11,2010
Putumayo,12,2011
Putumayo,48,2012
Putumayo,49,2013
Putumayo,48,2014
Putumayo,32,2015
Putumayo,43,2016
Putumayo,44,2017
Quindío,127,2009
Quindío,93,2010
Quindío,104,2011
Quindío,119,2012
Quindío,100,2013
Quindío,235,2014
Quindío,123,2015
Quindío,48,2016
Quindío,65,2017
Risaralda,124,2009
Risaralda,98,2010
Risaralda,169,2011
Risaralda,113,2012
Risaralda,212,2013
Risaralda,213,2014
Risaralda,147,2015
Risaralda,94,2016
Risaralda,89,2017
Santander,346,2009
Santander,191,2010
Santander,230,2011
Santander,249,2012
Santander,170,2013
Santander,355,2014
Santander,320,2015
Santander,171,2016
Santander,277,2017
Sucre,66,2009
Sucre,43,2010
Sucre,57,2011
Sucre,68,2012
Sucre,88,2013
Sucre,110,2014
Sucre,100,2015
Sucre,41,2016
Sucre,61,2017
Tolima,376,2009
Tolima,128,2010
Tolima,155,2011
Tolima,138,2012
Tolima,137,2013
Tolima,201,2014
Tolima,194,2015
Tolima,93,2016
Tolima,168,2017
Valle del Cauca,524,2009
Valle del Cauca,328,2010
Valle del Cauca,530,2011
Valle del Cauca,847,2012
Valle del Cauca,1023,2013
Valle del Cauca,1024,2014
Valle del Cauca,865,2015
Valle del Cauca,936,2016
Valle del Cauca,1312,2017
Vaupés,0,2009
Vaupés,0,2010
Vaupés,0,2011
Vaupés,1,2012
Vaupés,0,2013
Vaupés,0,2014
Vaupés,0,2015
Vaupés,1,2016
Vaupés,2,2017
Vichada,1,2009
Vichada,0,2010
Vichada,2,2011
Vichada,0,2012
Vichada,0,2013
Vichada,4,2014
Vichada,4,2015
Vichada,5,2016
Vichada,7,2017
