rango,year,amount,college
41 a 50 años,2009,108,INCOMPLETO
41 a 50 años,2010,94,INCOMPLETO
41 a 50 años,2011,125,INCOMPLETO
41 a 50 años,2012,124,INCOMPLETO
41 a 50 años,2013,114,INCOMPLETO
41 a 50 años,2014,208,INCOMPLETO
41 a 50 años,2015,161,INCOMPLETO
41 a 50 años,2016,107,INCOMPLETO
41 a 50 años,2017,142,INCOMPLETO
41 a 50 años,2009,173,EXTRACCION MENSUAL
41 a 50 años,2010,123,EXTRACCION MENSUAL
41 a 50 años,2011,145,EXTRACCION MENSUAL
41 a 50 años,2012,161,EXTRACCION MENSUAL
41 a 50 años,2013,154,EXTRACCION MENSUAL
41 a 50 años,2014,162,EXTRACCION MENSUAL
41 a 50 años,2015,136,EXTRACCION MENSUAL
41 a 50 años,2016,58,EXTRACCION MENSUAL
41 a 50 años,2017,78,EXTRACCION MENSUAL
41 a 50 años,2009,5,FALLA INDUCCION MEDICA
41 a 50 años,2010,1,FALLA INDUCCION MEDICA
41 a 50 años,2011,12,FALLA INDUCCION MEDICA
41 a 50 años,2012,9,FALLA INDUCCION MEDICA
41 a 50 años,2013,1,FALLA INDUCCION MEDICA
41 a 50 años,2014,4,FALLA INDUCCION MEDICA
41 a 50 años,2015,5,FALLA INDUCCION MEDICA
41 a 50 años,2016,4,FALLA INDUCCION MEDICA
41 a 50 años,2017,3,FALLA INDUCCION MEDICA
41 a 50 años,2009,25,EMBARAZO NO DESEADO
41 a 50 años,2010,7,EMBARAZO NO DESEADO
41 a 50 años,2011,19,EMBARAZO NO DESEADO
41 a 50 años,2012,15,EMBARAZO NO DESEADO
41 a 50 años,2013,38,EMBARAZO NO DESEADO
41 a 50 años,2014,48,EMBARAZO NO DESEADO
41 a 50 años,2015,45,EMBARAZO NO DESEADO
41 a 50 años,2016,33,EMBARAZO NO DESEADO
41 a 50 años,2017,45,EMBARAZO NO DESEADO
mas de 50 años,2009,2,COMPLETO
mas de 50 años,2010,21,COMPLETO
mas de 50 años,2011,7,COMPLETO
mas de 50 años,2012,11,COMPLETO
mas de 50 años,2013,7,COMPLETO
mas de 50 años,2014,8,COMPLETO
mas de 50 años,2015,3,COMPLETO
mas de 50 años,2016,6,COMPLETO
mas de 50 años,2017,8,COMPLETO
mas de 50 años,2009,7,INCOMPLETO
mas de 50 años,2010,8,INCOMPLETO
mas de 50 años,2011,3,INCOMPLETO
mas de 50 años,2012,6,INCOMPLETO
mas de 50 años,2013,6,INCOMPLETO
mas de 50 años,2014,9,INCOMPLETO
mas de 50 años,2015,7,INCOMPLETO
mas de 50 años,2016,2,INCOMPLETO
mas de 50 años,2017,10,INCOMPLETO
mas de 50 años,2009,38,EXTRACCION MENSUAL
mas de 50 años,2010,39,EXTRACCION MENSUAL
mas de 50 años,2011,34,EXTRACCION MENSUAL
mas de 50 años,2012,25,EXTRACCION MENSUAL
mas de 50 años,2013,42,EXTRACCION MENSUAL
mas de 50 años,2014,63,EXTRACCION MENSUAL
mas de 50 años,2015,37,EXTRACCION MENSUAL
mas de 50 años,2016,14,EXTRACCION MENSUAL
mas de 50 años,2017,9,EXTRACCION MENSUAL
mas de 50 años,2009,1,FALLA INDUCCION MEDICA
mas de 50 años,2010,4,FALLA INDUCCION MEDICA
mas de 50 años,2011,3,FALLA INDUCCION MEDICA
mas de 50 años,2012,6,FALLA INDUCCION MEDICA
mas de 50 años,2013,5,FALLA INDUCCION MEDICA
mas de 50 años,2014,3,FALLA INDUCCION MEDICA
mas de 50 años,2015,3,FALLA INDUCCION MEDICA
mas de 50 años,2016,0,FALLA INDUCCION MEDICA
mas de 50 años,2017,1,FALLA INDUCCION MEDICA
mas de 50 años,2009,5,EMBARAZO NO DESEADO
mas de 50 años,2010,3,EMBARAZO NO DESEADO
mas de 50 años,2011,3,EMBARAZO NO DESEADO
mas de 50 años,2012,9,EMBARAZO NO DESEADO
mas de 50 años,2013,13,EMBARAZO NO DESEADO
mas de 50 años,2014,7,EMBARAZO NO DESEADO
mas de 50 años,2015,3,EMBARAZO NO DESEADO
mas de 50 años,2016,0,EMBARAZO NO DESEADO
mas de 50 años,2017,2,EMBARAZO NO DESEADO
